date,value
04/01/2021,.39
05/01/2021,.36
07/01/2021,.38
08/01/2021,.38
11/01/2021,.36
12/01/2021,.37
13/01/2021,.37
14/01/2021,.37
15/01/2021,.37
18/01/2021,.37
19/01/2021,.37
20/01/2021,.37
21/01/2021,.37
22/01/2021,.37
25/01/2021,.36
26/01/2021,.37
27/01/2021,.37
28/01/2021,.36
29/01/2021,.36
01/02/2021,.36
02/02/2021,.35
03/02/2021,.37
04/02/2021,.37
05/02/2021,.37
08/02/2021,.38
09/02/2021,.38
10/02/2021,.35
11/02/2021,.35
12/02/2021,.39
15/02/2021,.39
16/02/2021,.39
17/02/2021,.39
18/02/2021,.4
19/02/2021,.4
22/02/2021,.38
23/02/2021,.38
24/02/2021,.37
25/02/2021,.38
26/02/2021,.37
01/03/2021,.38
02/03/2021,.38
03/03/2021,.38
04/03/2021,.4
05/03/2021,.41
08/03/2021,.4
09/03/2021,.41
10/03/2021,.42
11/03/2021,.41
12/03/2021,.42
16/03/2021,.42
17/03/2021,.43
18/03/2021,.45
19/03/2021,.44
22/03/2021,.43
23/03/2021,.44
24/03/2021,.43
26/03/2021,.46
29/03/2021,.46
30/03/2021,.46
31/03/2021,.46
01/04/2021,.47
06/04/2021,.47
07/04/2021,.47
08/04/2021,.47
09/04/2021,.47
12/04/2021,.46
13/04/2021,.48
14/04/2021,.48
15/04/2021,.48
16/04/2021,.47
19/04/2021,.46
20/04/2021,.47
21/04/2021,.48
22/04/2021,.53
23/04/2021,.53
26/04/2021,.54
27/04/2021,.55
28/04/2021,.58
29/04/2021,.58
05/05/2021,.58
06/05/2021,.58
07/05/2021,.55
10/05/2021,.55
11/05/2021,.55
12/05/2021,.56
13/05/2021,.55
14/05/2021,.55
17/05/2021,.54
18/05/2021,.58
19/05/2021,.55
20/05/2021,.6
21/05/2021,.58
24/05/2021,.59
25/05/2021,.6
26/05/2021,.58
27/05/2021,.6
28/05/2021,.61
31/05/2021,.61
01/06/2021,.63
02/06/2021,.63
03/06/2021,.64
